"","header","link","desc","date","author"
"1","","","","",""
"2","In Kazakhstan, Putin Again Seizes on Unrest to Try to Expand Influence","/2022/01/06/world/asia/kazakhstan-putin-russia.html?searchResultPosition=1","But a series of revolts against a pro-Russian strongman could also plant the seeds of rebellion at home, analysts say.","Jan. 6, 2022","By Andrew Higgins"
"3","The Biden administration is closely monitoring — but not criticizing — Moscow’s intervention.","/live/2022/01/06/world/kazakhstan-protests/the-biden-administration-is-closely-monitoring-but-not-criticizing-moscows-intervention?searchResultPosition=2",NA,"Jan. 6, 2022","By Michael Crowley"
"4","Why unrest in Kazakhstan matters to the region and the world.","/live/2022/01/06/world/kazakhstan-protests/why-does-unrest-in-kazakhstan-matter-to-the-region-and-the-world?searchResultPosition=3",NA,"Jan. 6, 2022","By Dan Bilefsky"
"5","Russia-Allied Forces to Intervene as Unrest Sweeps Kazakhstan","/2022/01/05/world/europe/kazakhstan-protests-gas-prices.html?searchResultPosition=4","The Kazakh president requested the peacekeeping troops as an uprising, sparked by a gas price increase in the resource-rich Central Asian nation, headed toward a fifth day.","Jan. 5, 2022","By Valerie Hopkins and Ivan Nechepurenko"
"6","Revolt in Kazakhstan: What’s Happening, and Why It Matters","/2022/01/05/world/asia/kazakhstan-protests.html?searchResultPosition=5","As protests in the oil-rich Central Asian country gain momentum, the events threaten to reverberate across the region.","Jan. 5, 2022","By Dan Bilefsky"
"7","In a Race to Shape the Future, History Is Under New Pressure","/2022/01/05/world/history-revisionism-nationalism.html?searchResultPosition=6","A wave of misleading revisionism has become epidemic in both autocracies and democracies. It has been notably effective — and contagious.","Jan. 5, 2022","By Max Fisher"
"8","NATO Vows United Response to Russian Aggression Against Ukraine","/2022/01/07/world/europe/nato-russia-ukraine.html?searchResultPosition=1","Foreign ministers from the alliance, meeting Friday, hope that Moscow will choose diplomacy and de-escalation instead, amid skepticism that Russia is sincere in wanting substantive talks.","Jan. 7, 2022","By Steven Erlanger"
"9","How Russia’s Military Is Currently Positioned","/interactive/2022/01/07/world/europe/ukraine-maps.html?searchResultPosition=2","Russian forces now surround Ukraine on three sides, and Western officials fear a military operation could start as soon as this month.","Jan. 7, 2022","By Michael Schwirtz and Scott Reinhard"
"10","Amid Crisis, Kazakhstan’s Leader Chose His Path: Embrace Russia","/2022/01/08/world/europe/kazakhstan-russia.html?searchResultPosition=3","With his government under siege, Kassym-Jomart Tokayev, Kazakhstan’s president, turned to Russia’s Vladimir V. Putin for support. The choice could realign Central Asia’s politics.","Jan. 8, 2022","By Valerie Hopkins"
